DATE,COMMODITY,QUANTITY_kg(DEMAND),PRICE per kg,TOTAL SALES
,,,,
1/2/2023,Sweetcorn ,162 kg  ,40,"6,480"
1/4/2023,Talong ,1.5 kg  ,40,60
1/6/2023,Hot pepper ,7.5 kg  ,80,600
1/9/2023,Kalabasa ,14.76 kg ,25,369
1/12/2023,Papaya ,12.8 kg  ,25,320
,,,,
6/10/2023,Pepper ,11.8kg,20,944
6/12/2023,Papaya ,9.76 kg  ,30,293
6/14/2023,Beans ,5 kg ,50,25
6/15/2023,Papaya ,7.8 kg  ,25,195
,,,,
8/12/2023,Rambutan ,48.5 kg,50,"2,425"
8/13/2023,Jackfruit ,26.45 kg  ,40,"1,058"
8/14/2023,Papaya ,5.68 kg  ,25,142
8/15/2023,Pipino ,6.75 kg  ,40,270
8/16/2023,Talong ,10.25 kg  ,40,410
8/17/2023,Kalabasa ,25.65 kg  ,20,513
8/18/2023,Pakwan ,44.35 kg  ,40,"1,774"
8/19/2023,Sweetcorn ,6.44kg,100,"1,570"
8/20/2023,Luya ,5 kg  ,40,20
8/21/2023,Kalabasa   ,55.8 kg,25,"1,395"
8/22/2023,Kangkong,21 kg,10,210
8/23/2023,Kalamansi ,16.25 kg,20,325
8/24/2023,Pipino ,10.71 kg,35,375
8/25/2023,Durian ,11.24 kg,50,562
8/26/2023,Rambutan ,40.6 kg,50,"2,030"
8/27/2023,Pakwan ,99.12 kg,40,"3,965"
8/28/2023,Sweetcorn ,0.53kg,100,"1,035"
8/29/2023,Pomelo ,7 kg,20,140
8/30/2023,Jackfruit ,5.78 kg,50,289
8/31/2023,Papaya ,11.56 kg,20,120
,,,,
9/1/2023,Kalabasa ,247.4 kg  ,20,"4,948"
9/2/2023,Talong ,17.8 kg  ,50,890
9/4/2023,Kangkong,5 kg  ,40,20
9/6/2023,Pakwan ,85 kg ,40,"3,400"
9/8/2023,Sweetcorn ,24.4 kg  ,100,"2,430"
9/10/2023,Kalamansi ,8.5 kg ,50,425
9/12/2023,Rambutan ,97.6 kg,40,"3,905"
9/14/2023,Papaya ,7.2 kg,25,180
9/16/2023,Jackfruit ,43.55 kg  ,40,"1,742"
9/18/2023,Talong ,28.8 kg  ,50,"1,440"
9/20/2023,Patola ,6.32 kg  ,40,253
9/22/2023,Kalabasa ,51.45 kg  ,20,"1,029"
9/24/2023,Sweetcorn ,30.5 kg  ,100,"3,050"
9/26/2023,Kalamansi ,3.9 kg  ,50,195
9/28/2023,Papaya ,3.2 kg  ,25,80
9/30/2023,Jackfruit ,15 kg  ,30,450
,,,,
10/1/2023,Jackfruit ,58 kg  ,30,"1,740"
10/2/2023,Pomelo ,30kg,20,400
10/3/2023,Kalamansi ,6 kg  ,25,150
10/4/2023,Papaya ,9.4 kg  ,25,235
10/5/2023,Patola ,2.8 kg  ,40,112
10/6/2023,Pepper ,1.16 kg  ,180,210
10/7/2023,Talong ,6.1 kg  ,50,305
10/8/2023,Pipino,1.75 kg ,40,70
10/9/2023,Kangkong,1.7kg,10,70
10/10/2023,Luya,3.12 kg  ,40,125
10/11/2023,Pipino ,44 kg ,10,440
10/12/2023,Ampalaya,46 kg  ,10,460
10/13/2023,Talong ,47 kg  ,15,705
10/14/2023,Ampalaya,21.6 kg  ,50,"1,080"
10/15/2023,Ampalaya,30 kg  ,30,900
10/16/2023,Chinese Pechay ,36.11 kg  ,60,"2,167"
10/18/2023,Pipino ,49.72 kg  ,40,"1,989"
10/20/2023,Pipino ,40 kg  ,30,"1,200"
10/22/2023,Patola ,4.9 kg  ,40,196
10/24/2023,Kalamansi ,7.25 kg ,40,290
10/26/2023,Kangkong ,1.6 kg  ,30,"1,200"
10/28/2023,Luya,5.25 kg  ,40,210
10/30/2023,Cabbage ,3.25 kg  ,50,162.5
,,,,
11/1/2023,Talong ,15 kg  ,40,600
11/2/2023,Pipino,79.6 kg ,40,"3,184"
11/3/2023,Ampalaya,2.2 kg ,50,110
11/4/2023,Patola ,1.3 kg ,40,52
11/5/2023,Kalabasa,164 kg  ,25,"4,100"
11/6/2023,Pomelo,34.5kg ,25,575
11/7/2023,Papaya,21.16 kg ,25,529
11/8/2023,Pakwan,84.8 kg  ,40,"3,392"
11/9/2023,Talong ,33.5 kg,40,"1,340"
11/10/2023,Pipino,12.15 kg,40,486
11/11/2023,Kalabasa,29.6 kg,30,888
11/12/2023,Papaya ,27.56 kg,25,689
11/13/2023,Luya,4.2 kg,50,210
11/14/2023,Sili ,8 kg,10,80
11/15/2023,Pomelo ,10 kg,25,250
11/16/2023,Cabbage ,1 kg,50,50
11/17/2023,Patola ,2 kg,40,80
11/18/2023,Kalamansi ,6.8  kg,50,340
11/19/2023,Chinese Pechay ,36.11 kg  ,60,"2,167"
11/20/2023,Pipino ,49.72 kg ,40,"1,989"
11/21/2023,Pipino ,40 kg ,30,"1,200"
11/22/2023,Patola ,4.9 kg  ,40,196
11/23/2023,Kalamansi ,7.25 kg  ,40,290
11/24/2023,Kangkong ,1.6 kg  ,30,50
10/25/2023,Luya ,5.25 kg  ,40,210
10/26/2023,Cabbage ,3.25 kg  ,50,162.5
10/28/2023,Saging Pinipita ,3 kg  ,20,60
10/30/2023,Papaya ,66.8 kg,25,"1,670"
,,,,
12/4/2023, Papaya ,20.84 kg  ,25,521
